"iso3n","eid","ISO3","eid_cat"
716,0.00138483890896168,"ZWE","Medium"
724,0.00214361394955631,"ESP","High"
728,0.00078024599541493,"SSD","Medium"
729,0.00265911585303513,"SDN","High"
732,3.64064861457791e-06,"ESH","Low"
740,6.32125261574856e-05,"SUR","Low"
748,8.25061579234898e-05,"SWZ","Low"
752,0.000488810958721331,"SWE","Medium"
756,0.000789725349022774,"CHE","Medium"
760,0.00130572741369406,"SYR","Medium"
762,0.000533506435090203,"TJK","Medium"
764,0.00477998555165016,"THA","High"
768,0.000533736787474481,"TGO","Medium"
780,0.000128824685816653,"TTO","Low"
784,0.000144791205300976,"ARE","Low"
788,0.000729560792706252,"TUN","Medium"
792,0.00421824067598209,"TUR","High"
795,0.000385277631465897,"TKM","Medium"
800,0.00225134190100107,"UGA","High"
804,0.00323503256822733,"UKR","High"
807,0.000169064463989343,"MKD","Low"
818,0.00443894484242513,"EGY","High"
826,0.00339753275994781,"GBR","High"
834,0.00355431820150898,"TZA","High"
840,0.0192131070246068,"USA","High"
854,0.000937489376156009,"BFA","Medium"
858,0.000301540233976993,"URY","Low"
860,0.0015924478633309,"UZB","High"
862,0.00214027695528074,"VEN","High"
887,0.00144584611965115,"YEM","High"
894,0.00113561156786091,"ZMB","Medium"
