country,ISO3,Region,Product,PerPersonPerDay_g,Proportion,game_protein_kg_extra,kg_extra,Pasture_m2_kg_protein,sd_Pasture_m2_kg_protein,Crop_m2_kg_protein,sd_Crop_m2_kg_protein,extra_pasture_km,extra_pasture_km_sd,extra_crop_km,extra_crop_km_sd,extra_total_km
Poland,POL,Eastern Europe,Pig Meat,12.47819220031089,0.6182942921687822,506740,313314.44961360865,0,0,100.852272727273,40.2166981799849,0,0,31.598474321827094,12.600472655538587,31.598474321827094
Portugal,PRT,Southern Europe,Bovine Meat (beef herd),4.48725536155806,0.18076948904393422,618540.0000000001,111813.1597532351,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,68.95194679060798,41.23386969490534,12.463761509343781,9.99894053105462,81.41570829995176
Portugal,PRT,Southern Europe,Lamb & Mutton,0.8768101335310893,0.035322375718756585,618540.0000000001,21848.302277079703,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,15.172496020785678,15.404808657881304,1.3837258108817139,1.0742094296564022,16.55622183166739
Portugal,PRT,Southern Europe,Poultry Meat,9.454320629274692,0.380868163655856,618540.0000000001,235582.19394769322,0,0,59.8095238095238,20.40873170117705,0,0,14.090058838014413,4.807933789853127,14.090058838014413
Romania,ROU,Eastern Europe,Bovine Meat (beef herd),1.8676810834779607,0.12618575124454792,531830,67109.36808438793,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,41.384409380060994,24.748240234030487,7.48065040548483,6.001284482375385,48.865059785545824
Romania,ROU,Eastern Europe,Lamb & Mutton,1.1036155475029163,0.07456334926704411,531830,39655.02604069207,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,27.538328478626898,27.959979715266613,2.5114849825771635,1.949707687396356,30.049813461204064
Romania,ROU,Eastern Europe,Pig Meat,6.935751730165438,0.4685987614581557,531830,249214.87930629094,0,0,100.852272727273,40.2166981799849,0,0,25.133886975492477,10.022599583022467,25.133886975492477
Russia,RUS,Eastern Europe,Bovine Meat (beef herd),4.967702445515534,0.25320116026470757,390,98.74845250323595,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,0.06089531909915461,0.03641593558466781,0.011007444598948332,0.008830623392565025,0.071902763698102945
Russia,RUS,Eastern Europe,Lamb & Mutton,0.5347579754014166,0.027256330530560403,390,10.629968906918558,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,0.0073819539338072,0.007494982217547187,6.732313641048416e-4,5.226407384863653e-4,0.008055185297912042
Russia,RUS,Eastern Europe,Pig Meat,5.99814238384036,0.30572213768405126,390,119.23163369678,0,0,100.852272727273,40.2166981799849,0,0,0.012024781239305971,0.004795102625889918,0.012024781239305971
Rwanda,RWA,Eastern Africa,Bovine Meat (beef herd),0.8947569505586224,0.5605962816986133,1816230,1018171.7847094724,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,627.8771378782599,375.47604226903087,113.49514071660619,91.05045549357357,741.3722785948661
Rwanda,RWA,Eastern Africa,Lamb & Mutton,0.2982156458029062,0.18684245154741244,1816230,339348.8657739569,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,235.65992681339318,239.26821769584132,21.49209483235059,16.684671739460818,257.15202164574373
Rwanda,RWA,Eastern Africa,Pig Meat,0.3285392703945761,0.2058412547230699,1816230,373855.06206568127,0,0,100.852272727273,40.2166981799849,0,0,37.70413267991966,15.035216194155026,37.70413267991966
Rwanda,RWA,Eastern Africa,Poultry Meat,0.07456891324389525,0.04672001203090439,1816230,84854.28745088947,0,0,59.8095238095238,20.40873170117705,0,0,5.075094525634151,1.7317683862797582,5.075094525634151
Sudan,SDN,Northern Africa,Bovine Meat (beef herd),2.4019107183561044,0.35044130960147185,1274000,446462.2284322751,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,275.32036378202616,164.6439953177413,49.76693933335553,39.925079313638484,325.0873031153817
Sudan,SDN,Northern Africa,Lamb & Mutton,4.093808045205896,0.5972909157926068,1274000,760948.6267197811,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,528.4387713291654,536.5299255033284,48.19341302558611,37.413350471812336,576.6321843547514
Sudan,SDN,Northern Africa,Pig Meat,0,0,1274000,0,0,0,100.852272727273,40.2166981799849,0,0,0,0,0
Sudan,SDN,Northern Africa,Poultry Meat,0.358241236438,0.05226777460592124,1274000,66589.14484794367,0,0,59.8095238095238,20.40873170117705,0,0,3.982665044238916,1.3589999914124984,3.982665044238916
Senegal,SEN,Western Africa,Bovine Meat (beef herd),1.8999876489044063,0.4036618436859586,8189.999999999999,3305.9904997880003,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,2.0387088741139183,1.2191658100146774,0.36851724101573563,0.2956396409560846,2.4072261151296543
Senegal,SEN,Western Africa,Lamb & Mutton,1.0589730439156242,0.2249841000635997,8189.999999999999,1842.6197795208814,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,1.279602456888855,1.299195002557455,0.11669925270298909,0.09059557659586251,1.3963017095918444
Senegal,SEN,Western Africa,Pig Meat,0.2648575984689244,0.05627031658540031,8189.999999999999,460.8538928344285,0,0,100.852272727273,40.2166981799849,0,0,0.046478162487563236,0.018534021913193317,0.046478162487563236
Senegal,SEN,Western Africa,Poultry Meat,1.4830611887110452,0.31508373966504133,8189.999999999999,2580.5358278566882,0,0,59.8095238095238,20.40873170117705,0,0,0.1543406190375238,0.05266546335600196,0.1543406190375238
Sierra Leone,SLE,Western Africa,Bovine Meat (beef herd),0.72,0.29508196721311475,396760,117076.72131147541,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,72.19783320767951,43.174938276658885,13.050488296212524,10.469636816881275,85.24832150389203
Sierra Leone,SLE,Western Africa,Lamb & Mutton,0.26,0.10655737704918034,396760,42277.70491803279,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,29.359640923209643,29.809179061015545,2.6775879781420753,2.0786562137061373,32.03722890135172
