"ISO3","COUNTRY","country_extra_pasture_km","country_extra_arable_fallow_km","Median_total_glob_trans","Lower_total_glob_trans","Upper_total_glob_trans","Median_total_glob_occ","Lower_total_glob_occ","Upper_total_glob_occ","Median_total_reg_trans","Lower_total_reg_trans","Upper_total_reg_trans","Median_total_reg_occ","Lower_total_reg_occ","Upper_total_reg_occ"
"BRA","Brazil",7857.17969633987,1380.84236249276,8.22714037647884,0,47.5031742140916,0.109558062513769,0,0.550199400494524,280.095310958605,0,1768.54003520171,3.52687965001845,0,20.4438161569171
"BGR","Bulgaria",0.220386612454239,0.250203862240263,0.00144818628674748,0,0.00576680494486743,3.44385168466767e-06,0,1.34177380487286e-05,0.399616869008171,0,1.27217053264864,0.000965716698398885,0,0.00309706095642138
"TCD","Chad",361.05073343165,56.3285079123901,0.00868084547309492,0,0.123669779975134,0.000288937621839038,0,0.00158839006348736,0.989897519050047,0,10.4384472021058,0.0179697493070855,0,0.113206907250437
"COG","Congo - Brazzaville",330.88710973301,359.494919311563,1.3089936691756,0,12.4732104303254,0.018794927545511,0,0.152519492943488,49.1995870745133,0,400.252566066479,0.695268781510335,0,4.97944075472346
"CHN","China",111.206873050956,85.2314802352483,0.695260407245231,0,3.16311496818129,0.00271775092402346,0,0.0116918822930413,41.4272619683193,0,199.747274335746,0.143911167936924,0,0.67924415271912
"CMR","Cameroon",3103.95274658769,754.211594732272,10.0264989059412,0,45.5964642481428,0.126026959594105,0,0.527261333946162,306.225238805334,0,1512.27819536754,4.25892618644948,0,19.7498784009155
"COL","Colombia",6711.10555894596,1284.72387019345,41.7570456690644,0,208.004107522846,0.511850110151373,0,2.37577826853609,914.251030675291,0,5491.23252552603,11.1599603903771,0,62.0838917779529
"CAF","Central African Republic",1358.97328558108,253.815290981351,0.26574288153967,0,2.66173815574636,0.00651696845195235,0,0.0378710973293715,7.99154966933787,0,78.1884631325754,0.220287099896948,0,1.22536909316692
"CPV","Cape Verde",0.10266538909729,0.117703368643938,0.00810904703624877,0,0.0513532757652157,9.99849533135436e-05,0,0.000589050057328678,0.133243641650144,0,0.584407468258451,0.00165021247584455,0,0.00691894651970142
"CYP","Cyprus",8.0537398867572,5.85442344496338,0.238311697297894,0,0.702253178659544,0.00116636239504831,0,0.0033465414953731,15.1719929436614,0,36.483768637327,0.0753039038373412,0,0.176891074256092
"DNK","Denmark",86.0268332564612,40.8887753631813,0.0826263484891598,0,0.312293009672797,0.000197487702432249,0,0.000735011273793557,37.9922713667444,0,137.963575973085,0.0917157050645234,0,0.333058990899277
"ECU","Ecuador",6082.18881344794,1262.73105143292,85.1183246688518,0,431.064850769025,1.03042532045008,0,4.68342276619804,1150.01388390503,0,6316.73410607563,13.3453102270641,0,69.2436886131695
