ISO3,Pop,COUNTRY,bovinepppd,shoatpppd,pigpppd,poultrypppd,birdpppd,horsepppd,assespppd,mulespppd,camelpppd,rabbitpppd,rodentspppd,camelidspppd,gamepppd,driednespppd,nespppd,snailpppd,allprotien_percap,gamepcpa,allmeatpppd,allmeatpcpa,percent_game_pppd,protiennogame_ppd,game_protein_kg_extra,source,game_protein_g_extra_pppd
TKM,6031200,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,GENuS database,NA
UGA,45741007,Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,GENuS database,NA
VUT,307145,Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,GENuS database,NA
VNM,97338579,Viet Nam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,GENuS database,NA
ZMB,18383955,Zambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,Inf,NA,4940000,FAO trade balance sheets,0.7356949518442892
CIV,26378274,Cote d'Ivoire,0.53164,0.24139,0.31924,0.61004,NA,8.4625e-4,NA,NA,NA,3.05e-5,NA,NA,6.0995,0,0.50185,0.0047772,61.051587514,58766636.596560754,8.30931395,80057452.78570093,73.40557880834434,54.952087514,18209100.000000004,FAO trade balance sheets,1.8899568170368977
BWA,2351627,Botswana,2.2981,1.388,0.17866,1.7454,NA,0,NA,NA,NA,0.29485,NA,NA,9.7246,0,0.22669,NA,62.71557278,8352767.810314051,15.856300000000001,13619479.693836527,61.329566166129545,52.99097278,3016000,FAO trade balance sheets,3.511338309175059
COG,5518087,Congo,0.76602,0.14199,0.73513,7.5543,NA,NA,NA,NA,NA,1.4007e-4,NA,NA,8.0824,0,8.53e-5,NA,53.526209879999996,16289925.8712042,17.28006537,34827648.214251064,46.7729712066477,45.443809879999996,5330000,FAO trade balance sheets,2.6445296522896613
CMR,26545863,Cameroon,1.5549,0.62122,0.57405,1.1252,NA,0.0082824,NA,NA,NA,0.0026853,NA,NA,2.618,4.5222e-4,5.11e-5,NA,67.60707633,25383804.574243497,6.50484102,63070134.92673902,40.24694826438663,64.98907633,8645000,FAO trade balance sheets,0.8916161457910415
RWA,12952218,Rwanda,0.89465,0.29818,0.2138,0.07456,NA,0,NA,NA,NA,0.1147,NA,NA,0.98654,1.9078e-4,0,NA,52.28782986,4667121.08847423,2.58262078,12217856.251008337,38.199181530631066,51.301289860000004,1816230,FAO trade balance sheets,0.38391623234823075
GHA,31072940,Ghana,0.33728,0.63187,0.33096,2.7147,NA,NA,NA,NA,NA,0,NA,NA,2.4932,1.7131e-4,0.654,NA,64.9705275162,28296302.476422,7.16218131,81286398.49941295,34.81062391591424,62.47732751619999,9659000,FAO trade balance sheets,0.8510588554835484
ETH,114963588,Ethiopia,1.3005,0.55022,0.0058576,0.20335,NA,0,NA,NA,NA,NA,NA,NA,0.79195,0,0,NA,60.4675529866,33254337.28693815,2.8518776,119751625.24334072,27.76942460644174,59.6756029866,11050000,FAO trade balance sheets,0.26315507130666205
ZWE,14862924,Zimbabwe,2.1895,0.35498,0.823,2.2673,NA,NA,NA,NA,NA,NA,NA,NA,2.1336,0,0.023943,NA,54.004578519999995,11582638.0295976,7.792323,42302051.330478095,27.38079517494334,51.870978519999994,4550000,FAO trade balance sheets,0.8381406701299866
CAF,4829767,Central African Republic,5.6709,1.885,1.1715,0.4677,NA,0,NA,NA,NA,0,NA,NA,3.7551,0,0.95854,NA,55.36604961,6624268.257035926,13.90874,24536024.307572592,26.998132109738194,51.61094961,2600000,FAO trade balance sheets,1.473862413351092
NER,24206644,Niger,2.4781,1.4803,0.026359,0.35247,NA,0.029992,NA,NA,NA,NA,NA,NA,1.3872,6.44e-5,0,NA,87.388834555,12264896.5073712,5.7544854,50878148.705434375,24.10641271242082,86.00163455500001,3575000,FAO trade balance sheets,0.40434421904983037
NGA,206139589,Nigeria,0.66884,1.001,0.43346,0.62021,NA,NA,NA,NA,NA,NA,NA,NA,0.82683,1.29e-5,0,NA,66.22766987199999,62254085.27519076,3.5503529,267314892.04990244,23.2886708248073,65.40083987199999,21190000,FAO trade balance sheets,0.2814357904794757
GMB,2416668,Gambia,0.64883,0.27334,0.10837,1.4675,NA,0,NA,NA,NA,0,NA,NA,0.61446,0,0,NA,58.3996449,542376.46049202,3.1125000000000003,2747366.3595375,19.74168674698795,57.7851849,166400,FAO trade balance sheets,0.18851508398289782
NAM,2540905,Namibia,2.7268,1.8956,1.028,3.3688,1.0079,5.2843e-4,NA,NA,NA,0.10299,NA,NA,2.4033,0,6.4986e-4,NA,64.01293666,2230419.9393191254,12.53456829,11632901.02973962,19.173376732227293,61.60963665999999,845000,FAO trade balance sheets,0.9104960300076648
MLI,20250833,Mali,2.9698,3.0812,0.055647,0.9964,NA,0.10162,NA,NA,NA,NA,NA,NA,1.3692,7.37e-5,0,NA,76.74817106,10127447.6585499,8.5739407,63418153.422992036,15.969319685171138,75.37897106,3081000,FAO trade balance sheets,0.41654179238720723
GIN,13132795,Guinea,1.3634,0.46858,0.07322,0.5287,NA,NA,NA,NA,NA,NA,NA,NA,0.43278,0,0,NA,46.096334328,2075938.925091525,2.8666799999999997,13750756.961461648,15.09690652601616,45.663554328,754000,FAO trade balance sheets,0.1571896533447453
TZA,59734218,United Republic of Tanzania,1.6207,0.43308,0.09958,0.69815,NA,0,NA,NA,NA,0,NA,NA,0.37731,9.17e-5,7.77e-6,NA,57.441322314,8232120.574105095,3.22891947,70448316.77166128,11.685333236260611,57.064012313999996,2730000,FAO trade balance sheets,0.1251264835989087
KEN,53771296,Kenya,3.1155,0.72771,0.076149,0.20674,NA,0,NA,NA,NA,0.041397,NA,NA,0.51525,0,0,NA,60.081280379,10119492.411425998,4.682746,91968971.58978255,11.003159257410076,59.566030379,3380000,FAO trade balance sheets,0.1720980587952818
BEN,12123200,Benin,0.90608,0.30528,0.26652,4.2127,NA,0,NA,NA,NA,0.0015127,NA,NA,0.68129,0.0033695,7.0006e-4,NA,64.57505216,3016751.302452,6.37745226,28239350.95433729,10.682792629795397,63.89376216,1040000,FAO trade balance sheets,0.23486907900697715
MAR,36910560,Morocco,1.765,1.8978,0.007275,6.5268,NA,0.032903,NA,NA,NA,NA,NA,NA,0.89328,5.07e-5,0,0.20638,94.76237556,12042827.604691198,11.329488699999999,152739431.3803029,7.884557049781073,93.86909555999999,6110000,FAO trade balance sheets,0.4532109052091634
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,GENuS database,NA
BFA,20903273,Burkina Faso,2.2495,1.1821,0.58283,0.81338,NA,0.013446,NA,NA,NA,NA,NA,NA,0.33325,0,0,NA,78.49262969,2544337.2443780624,5.174506,39506941.746609904,6.440228303919253,78.15937969,832000,FAO trade balance sheets,0.1089729754232224
MDG,27691018,Madagascar,2.1895,0.20944,0.77906,1.1387,NA,1.703e-4,NA,NA,NA,0.019654,NA,NA,0.27661,0,0,NA,43.62400621,2797673.461599945,4.6131343,46657906.09850127,5.996140194747854,43.34739621,936000,FAO trade balance sheets,0.09254366656926975
SWE,10099265,Sweden,6.5057,0.49175,9.2004,5.0818,NA,0.10215,NA,NA,NA,8.7202e-4,NA,NA,1.2017,0.11759,0.02639,NA,97.12116347999999,4432778.735620125,22.72835202,83839357.18560766,5.287228915420504,95.91946347999999,2476890,FAO trade balance sheets,0.671470174922594
NZL,4822233,New Zealand,12.8096,7.4746,4.7093,11.4792,NA,0.16251,NA,NA,NA,0,NA,NA,1.9008,0,0.24653,NA,118.496409992,3347918.2026576004,38.78254,68308486.74836725,4.90117460073528,116.59560999199999,1790100.0000000002,FAO trade balance sheets,1.0163396696188622
ZAF,59308690,South Africa,4.5247,1.1856,1.315,11.7941,NA,0.024598,NA,NA,NA,0,NA,NA,0.71549,0,0,NA,78.58641208,15499301.425608525,19.559488,423707389.6806005,3.6580200872333664,77.87092208,5930470,FAO trade balance sheets,0.27376665978566234
AGO,32866272,Angola,2.0323,0.38693,2.3196,5.1853,NA,NA,NA,NA,NA,NA,NA,NA,0.36732,NA,NA,NA,57.15295191,4409458.3560873605,10.29145,123542742.5643996,3.569176355129744,56.78563191,1162200,FAO trade balance sheets,0.09681445418588783
PER,32971854,Peru,1.3273,0.35671,1.1388,3.6039,NA,0,NA,NA,NA,0.056355,0.22596,NA,0.19438,0.0033537,0,NA,69.3421064455,2340912.4451349303,6.9067587,83177885.56628229,2.8143447374236485,69.1477264455,1001000,FAO trade balance sheets,0.08311903352232584
ARG,45195774,Argentina,17.2397,0.51251,3.0732,11.037,NA,0.093184,NA,NA,NA,0.050653,NA,NA,0.82402,0,2.4092e-4,NA,100.3200548004,13602721.472813068,32.83050792,541958028.988063,2.509921570534142,99.4960348004,6500000,FAO trade balance sheets,0.39375429473469487
SDN,43849260,Sudan (former),2.2723,3.8729,NA,0.33891,NA,0,NA,NA,NA,NA,NA,NA,0.18741,0,0.36985,NA,70.869265538,3001547.73051315,7.04137,112774175.03443456,2.6615559188055733,70.681855538,1274000,FAO trade balance sheets,0.07954574154287432
DEU,83783942,Germany,3.5972,0.32055,12.9688,5.8091,NA,0.023009,NA,NA,NA,0.2752,NA,NA,0.59686,0.59477,9.6874e-4,NA,98.66633791,18265160.342979327,24.186457739999998,740156031.1459863,2.467744580112292,98.06947790999999,10794810,FAO trade balance sheets,0.35274753550556837
MUS,1271768,Mauritius,1.715,1.4909,0.96358,12.9091,NA,NA,NA,NA,NA,0.013417,NA,NA,0.4215,0.0025822,8.7534e-4,NA,75.66715289,195792.33993299998,17.51695454,8136857.693681111,2.4062401888267955,75.24565289,81250,FAO trade balance sheets,0.17491427402991996
NOR,5421241,Norway,5.1389,1.8541,5.7036,5.5537,NA,0.051088,NA,NA,NA,0.025444,NA,NA,0.41176,0.01382,0.20947,NA,99.89896985,815329.38341694,18.961882,37546579.46251402,2.1715144098038373,99.48720985,1036230,FAO trade balance sheets,0.5233198673790552
DNK,5792202,Denmark,7.9586,0.34969,4.4256,8.2207,NA,0.018395,NA,NA,NA,0.0030545,NA,NA,0.45904,0.75462,0.0014275,NA,131.55187322,971145.84132072,22.191127,46947587.79250163,2.068574525304641,131.09283322000002,546000,FAO trade balance sheets,0.2580825961826137
CHE,8654622,Switzerland,5.7873,0.55732,8.0946,5.2563,NA,0.4278,NA,NA,NA,0.22736,NA,NA,0.42209,0.13566,0.0087811,NA,93.53224113,1334268.988342695,20.9172111,66121410.346958205,2.0179076358798143,93.11015113,664560.0000000001,FAO trade balance sheets,0.21023057033530865
AUT,9006398,Austria,4.6654,0.41162,16.3614,6.2035,NA,0.029326,NA,NA,NA,0.035761,NA,NA,0.52131,0.083339,0.0019503,NA,98.65259274,1714894.530939045,28.3136063,93140067.51267248,1.841199579016538,98.13128274,937950,FAO trade balance sheets,0.285126989257032
USA,331002651,United States of America,9.9657,0.1457,6.773,16.6289,NA,0.048949,NA,NA,NA,0.0012825,NA,NA,0.444,0,0,NA,104.98396847000001,53679030.915321,34.0075315,4111466970.1402087,1.305593144859691,104.53996847,33027930,FAO trade balance sheets,0.27318676715928764
CYP,1207359,Cyprus,1.8753,1.9634,9.3023,8.5925,0.13929,0,NA,NA,NA,0.3767,NA,NA,0.28311,0.42965,4.7498e-4,NA,75.41380575,124848.07722047248,22.96272498,10126283.287398938,1.2329111647096858,75.13069575,71110,FAO trade balance sheets,0.16125159912914364
PRT,10196709,Portugal,4.4636,0.87423,9.8818,9.4265,NA,0.010451,NA,NA,NA,0.093453,NA,NA,0.29051,0.071994,0.0010513,NA,100.93201268600001,1081960.3265132476,25.1135893,93531745.13423842,1.1567840682972386,100.64150268600001,618540.0000000001,FAO trade balance sheets,0.16608007798130653
IRN,83992949,Iran (Islamic Republic of),1.5524,1.2421,0,8.3856,NA,NA,NA,NA,NA,NA,NA,NA,0.10502,0,0,NA,101.67543968,3221848.153828695,11.285120000000001,346209703.27304596,0.9306059660863154,101.57041968,991250,FAO trade balance sheets,0.032310981160391154
LUX,625978,Luxembourg,8.0016,0.71031,10.3159,7.8102,NA,0.061328,NA,NA,NA,0.32363,NA,NA,0.23853,0.066209,0.050382,NA,110.32708999,54537.13293718501,27.578089,6305411.92280434,0.8649257749512665,110.08855999000001,63960,FAO trade balance sheets,0.27974295637381696
ROU,19237691,Romania,1.7542,1.0964,6.8845,4.862,NA,0.10127,NA,NA,NA,0.0059051,NA,NA,0.127,0.092581,0.0041897,NA,97.5121949,892373.96299425,14.9280458,104892908.585084,0.8507476578079631,97.3851949,531830,FAO trade balance sheets,0.07568845887588409
SVK,5459642,Slovakia,1.208,0.047354,8.4171,5.3048,NA,0.011634,NA,NA,NA,0.40169,NA,NA,0.084901,1.3876,0.16219,NA,74.0657603,169303.99115269052,17.025268999999998,33950671.86662319,0.49867640857833145,73.98085929999999,88140,FAO trade balance sheets,0.04419963220625517
BEL,11589623,Belgium,4.3452,0.54275,8.5117,7.4061,NA,0.34181,NA,NA,NA,0.0033936,NA,NA,0.10164,0.22348,0.023137,NA,102.19770194,430253.28014822997,21.4992106,91008519.09924829,0.4727615440912979,102.09606194,238680,FAO trade balance sheets,0.05638407960920643
NLD,17134872,Netherlands,4.0304,0.35333,8.2377,4.0053,NA,3.52e-5,NA,NA,NA,0,NA,NA,0.10687,7.2281,0.021966,NA,126.87454091,668847.17722626,23.983701200000002,150102281.71664703,0.44559427716686195,126.76767090999999,184990,FAO trade balance sheets,0.029558144181734615
URY,3473730,Uruguay,8.1743,2.4109,4.5384,7.4237,NA,0.25932,NA,NA,NA,0.046032000000000003,NA,NA,0.10034,0,1.5184e-4,NA,106.71569272,127309.37341004999,22.95314384,29122487.1443208,0.4371514451329296,106.61535272,24440,FAO trade balance sheets,0.019262600500761014
TUN,11818619,Tunisia,1.4959,2.0362,0,4.4288,NA,0.027249,NA,NA,NA,NA,NA,NA,0.027199,0,0.31415,0.041021,94.21120959,117411.29929061026,8.370519,36133442.829763584,0.324938035502936,94.18401059,62400.00000000001,FAO trade balance sheets,0.014455317420507688
POL,37846611,Poland,0.6538,0.018213,12.4256,7.0117,NA,0.013007,NA,NA,NA,0.041696,NA,NA,0.062168,0,0.017623,NA,100.600477581,859377.773144682,20.243807,279839753.2433201,0.3070963875520054,100.53830958100001,506740,FAO trade balance sheets,0.03665793240698147
FIN,5540720,Finland,5.0878,0.21127,8.4317,5.8802,NA,0.2984,NA,NA,NA,3.058e-4,NA,NA,0.051897,0.30339,0.36191,NA,107.26224361,105026.44891805999,20.6268728,41743592.16271695,0.2515989723851887,107.21034661,59670,FAO trade balance sheets,0.029484896632237773
ESP,46754778,Spain,3.5058,0.99079,11.7272,8.7315,NA,0.033468,NA,NA,NA,0.74809,NA,NA,0.056351,0.15156,3.0469e-4,NA,95.15612587,962316.3203272393,25.94506369,443068591.87621635,0.21719353119845816,95.09977486999999,565240,FAO trade balance sheets,0.033099136497205674
GBR,67886011,United Kingdom,5.0474,1.7047,6.4723,9.9599,NA,0.0082169,NA,NA,NA,7.893e-4,NA,NA,0.047201,1.1085,0.0010472,NA,91.42887542,1170366.047803318,24.350054399999998,603768499.2250967,0.1938435094420159,91.38167442,650780,FAO trade balance sheets,0.026246033741028452
FRA,65273511,France,6.8205,1.2021,8.1164,7.461,NA,0.16071,NA,NA,NA,0.45183,NA,NA,0.047379,0.24205,1.0144,NA,112.15259015,1129569.8407686022,25.516369,608339578.0477195,0.18568080748479532,112.10521114999999,642720,FAO trade balance sheets,0.026958431237221855
CZE,10708981,Czech Republic,1.9614,0.091065,10.9682,7.4643,NA,0.01944,NA,NA,NA,1.9869,NA,NA,0.038646,0.61603,0.00115,NA,86.393693,151162.1019199215,23.147130999999998,90538968.46700238,0.16695805627055899,86.355047,87490.00000000001,FAO trade balance sheets,0.022367633798788845
ITA,60461826,Italy,5.7927,0.42619,9.7291,5.8641,0.032963,0.40883,NA,NA,NA,2.3162,NA,NA,0.040578,0.040441,0.25558,NA,106.50187438,896111.646025077,24.906682,550031243.6306164,0.16292013524724008,106.46129638000001,527280,FAO trade balance sheets,0.023876453268861158
IRL,4937786,Ireland,6.1586,1.0199,7.8667,6.9309,NA,0,NA,NA,NA,0,NA,NA,0.029098,0.16267,0.19029,NA,135.53818576,52479.009339476994,22.358158,40323526.78862817,0.1301448893956291,135.50908776,37440,FAO trade balance sheets,0.020759330896524448
LTU,2722289,Lithuania,0.98204,0.076495,10.9973,7.5483,NA,0.0080858,NA,NA,NA,0.020753,NA,NA,0.022819,0.33617,0.057343,NA,131.24018053,22689.29811038775,20.0493058,19935346.693655554,0.11381441446217054,131.21736153,14820,FAO trade balance sheets,0.014904717561323482
SEN,16743927,Senegal,1.5092,1.0188,0.25481,1.4268,NA,0.31871,NA,NA,NA,0,NA,NA,0.0041859,1.5948e-4,0.1784,NA,57.217663883,25599.789571701825,4.71106538,28811553.64115949,0.08885251344145007,57.213477983,8189.999999999999,FAO trade balance sheets,0.0013391719843625636
SVN,2078938,Slovenia,5.2923,0.33512,8.9773,7.6097,NA,0.11198,NA,NA,NA,0.017316,NA,NA,0.018912,0.022091,0.030361,NA,89.657723457,14360.488760304,22.41508,17020489.868935857,0.08437177114692432,89.638811457,8320,FAO trade balance sheets,0.010956997538617834
GRC,10423054,Greece,5.0313,4.648,7.7115,4.765,NA,0.14705,NA,NA,NA,0.38248,NA,NA,0.017262,0.4584,0.024526,NA,115.201565737,65716.787413557,23.185518,88267741.71470277,0.07445164692891486,115.184303737,40950,FAO trade balance sheets,0.01075644333542353
MLT,441543,Malta,4.9721,0.58646,8.0582,8.2304,NA,0.1527,NA,NA,NA,2.5312,NA,NA,0.010012,0.47736,0,NA,98.95808162,1614.671090469,25.018432,4034812.1133903842,0.04001849516388557,98.94806962,910,FAO trade balance sheets,0.0056425856967276394
CHN,1439323776,China,1.4869,1.1849,8.2429,4.3707,0,0.077977,NA,NA,NA,0.27819,NA,NA,0.0032549,3.9097e-4,0.14389,NA,90.27551233,1711143.2735930015,15.78910287,8300536782.103432,0.02061485080437632,90.27225743,972920.0000000001,FAO trade balance sheets,0.0018506675372369893
ARE,9890402,United Arab Emirates,1.3883,2.7502,NA,12.7335,NA,0,NA,NA,NA,0,NA,NA,0.0024813,0.0085734,0.011438,NA,98.347311116,8963.620149769651,16.8944927,61030836.733106144,0.01468703466899601,98.344829816,4420,FAO trade balance sheets,0.0012235397994059178
BGR,6948445,Bulgaria,1.1973,0.6921,6.9136,6.8339,NA,0.05754,NA,NA,NA,0.58481,NA,NA,0.0020892,0.016988,0.011494,NA,78.603107506,5302.2214951335,16.3098212,41393013.85622442,0.012809459860908836,78.601018306,2860.0000000000005,FAO trade balance sheets,0.0011269072794269524
KAZ,18776707,Kazakhstan,5.9541,3.3767,4.1152,5.1917,NA,2.8861,NA,NA,NA,0.17406,NA,NA,0.001514,0.0059625,0.0068222,NA,90.420064123,10383.303038869499,21.7121587,148906158.13086316,0.006973051463556223,90.418550123,5200,FAO trade balance sheets,7.582173004609875e-4
RUS,145934462,Russian Federation,4.3694,0.50268,5.5775,7.4675,0.16446,0.30031,NA,NA,NA,0.060838,NA,NA,1.27e-5,0,1.1769,NA,92.8462173228,676.94254051785,19.6196007,1045774987.5436053,6.473118487064826e-5,92.8462046228,390,FAO trade balance sheets,7.316721440214165e-6
BGD,164689383,Bangladesh,0.34977,0.48447,0,0.44611,NA,0,NA,NA,NA,NA,NA,NA,0,5.32e-5,0.053797,NA,54.864875954,0,1.3342002,80255873.97574808,0,54.864875954,NA,GENuS database,NA
IDN,273523615,Indonesia,0.66187,0.1712,0.7178,2.2467,NA,0,NA,NA,NA,0,NA,NA,0,0.0021553,0.0087634,NA,59.159705683,0,3.8084887000000003,380485160.7716151,0,59.159705683,1950.0000000000002,FAO trade balance sheets,1.9518640227490406e-5
NPL,29136808,Nepal,2.4514,0.83642,0.15188,0.45284,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,71.066767297,0,3.89254,41425263.62114988,0,71.066767297,NA,GENuS database,NA
YEM,29825964,Yemen,1.2968,1.3478,0.002425,3.2133,NA,NA,NA,NA,NA,0.013035,NA,NA,0,0,0,NA,69.0499594705,0,5.87336,63983992.38642936,0,69.0499594705,NA,GENuS database,NA
HTI,11402528,Haiti,1.4529,0.26241,1.5026,2.3807,NA,0.26762,NA,NA,NA,NA,NA,NA,0,NA,0.20945,NA,46.107830990000004,0,6.07568,25303830.15927936,0,46.107830990000004,NA,GENuS database,NA
THA,69799978,Thailand,0.7103,0.01457,3.1452,3.9568,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,59.05376096,0,7.8268699999999995,199541682.9786861,0,59.05376096,NA,GENuS database,NA
GEO,3989167,Georgia,1.8107,0.31691,1.5981,4.1087,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,97.49961492,0,7.83441,11415074.182770668,0,97.49961492,6500,FAO trade balance sheets,0.00446108927411629
MRT,4649658,Mauritania,2.0894,4.3166,0,1.4539,NA,0.032047,NA,NA,NA,0,NA,NA,0,2.8707e-4,0.0011677,NA,69.94118425,0,7.8934017700000005,13405266.225461327,0,69.94118425,NA,GENuS database,NA
BIH,3280819,Bosnia and Herzegovina,2.5721,0.25134,2.1825,4.6033,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,79.2275847,0,9.60924,11514936.21045129,0,79.2275847,NA,GENuS database,NA
AZE,10139177,Azerbaijan,3.5058,2.9469,0.084875,3.1648,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,112.512711487,0,9.702375,35931139.091923214,0,112.512711487,NA,GENuS database,NA
MDA,4033963,Republic of Moldova,0.50851,0.058282,4.719,5.0527,NA,0.012075,NA,NA,NA,0.097677,NA,NA,0,0,0,NA,66.99302273,0,10.448244,15394494.801932523,0,66.99302273,NA,GENuS database,NA
KGZ,6524195,Kyrgyzstan,4.0708,3.3038,1.2028,2.0883,NA,0.64807,NA,NA,NA,0.011269,NA,NA,0,0,0,NA,79.81637704,0,11.325039,26987140.11949548,0,79.81637704,NA,GENuS database,NA
LBN,6825445,Lebanon,4.6143,0.8633,0.49227,7.1216,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,88.33677068,0,13.09147,32636953.362878285,0,88.33677068,NA,GENuS database,NA
ALB,2877797,Albania,3.686,2.528,2.3353,4.335,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,94.09415858999999,0,12.8843,13542885.558763273,0,94.09415858999999,260,FAO trade balance sheets,2.473562953378387e-4
SRB,8737371,Serbia,2.217,0.90701,6.659,3.5559,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,73.03576694,0,13.33891,42568793.724399045,0,73.03576694,NA,GENuS database,NA
JOR,10203134,Jordan,2.1201,1.7703,0.00485,10.878,NA,0,NA,NA,NA,0.0019586,NA,NA,0,0.0021753,0,NA,92.35901041,0,14.7773839,55070798.16394234,0,92.35901041,NA,GENuS database,NA
CPV,555987,Cabo Verde,0.89465,0.78096,7.161,6.402,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,69.68859723,0,15.23861,3094569.3234600676,0,69.68859723,1430.0000000000002,FAO trade balance sheets,0.007041759295808905
EST,1326535,Estonia,3.6511,0.17849,6.3268,6.2164,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,102.36125955,0,16.372790000000002,7932893.598412914,0,102.36125955,NA,GENuS database,NA
KOR,51269185,Republic of Korea,4.5164,0.053301,7.1153,5.4877,NA,0,NA,NA,NA,0.032782,NA,NA,0,2.93e-5,0.022739,NA,95.900117789,0,17.2282513,322617436.74184114,0,95.900117789,NA,GENuS database,NA
