Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TP","Crops and livestock products","211","Switzerland","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","3485","","Official data",""
"TP","Crops and livestock products","211","Switzerland","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","59","","Official data",""
"TP","Crops and livestock products","216","Thailand","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","217","Togo","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","*","Unofficial figure",""
"TP","Crops and livestock products","217","Togo","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","4","","Official data",""
"TP","Crops and livestock products","222","Tunisia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","222","Tunisia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","226","Uganda","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","226","Uganda","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","225","United Arab Emirates","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","34","R","Estimated data using trading partners database",""
"TP","Crops and livestock products","225","United Arab Emirates","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","R","Estimated data using trading partners database",""
"TP","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","1746","","Official data",""
"TP","Crops and livestock products","229","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","1540","","Official data",""
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","6011","","Official data",""
"TP","Crops and livestock products","231","United States of America","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","350","","Official data",""
"TP","Crops and livestock products","234","Uruguay","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","234","Uruguay","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","232","","Official data",""
"TP","Crops and livestock products","155","Vanuatu","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","249","Yemen","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","","M","Data not available",""
"TP","Crops and livestock products","251","Zambia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","251","Zambia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","181","Zimbabwe","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","181","Zimbabwe","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
