ISO3,COUNTRY,Population (2020),Days in year,Game_median_g_capita_day,Game_low95_g_capita_day,Game_high95_g_capita_day,Game_median_kg_country_year,AllMeat_median_kg_country_year,Perc_game,BovineMeat_median_g_capita_day,MuttonGoatMeat_median_g_capita_day,PigMeat_median_g_capita_day,PoultryMeat_median_g_capita_day,BirdMeatNES_median_g_capita_day,HorseMeat_median_g_capita_day,RabbitMeat_median_g_capita_day,RodentMeat_median_g_capita_day,CamelidMeat_median_g_capita_day,MeatDriedNES_median_g_capita_day,MeatNES_median_g_capita_day,SnailNotSeaMeat_median_g_capita_day
ESP,Spain,46754778,365.15,0.056351,0.050929,0.059037,962052.8525,1300689913,0.073964812,3.5058,0.99079,11.7272,8.7315,0,0.033468,0.74809,0,0,0.15156,0.00030469,0
EST,Estonia,1326535,365.15,,,,,23152404.88,0,3.6511,0.17849,6.3268,6.2164,0,0,0,0,0,0,0,0
ETH,Ethiopia,114963588,365.15,0.79195,0.79195,0.79195,33245232.75,364996075.1,9.108380888,1.3005,0.55022,0.0058576,0.20335,0,0,0,0,0,0,0,0
FIN,Finland,5540720,365.15,0.051897,0.046904,0.054371,104997.6942,122396000.4,0.085785233,5.0878,0.21127,8.4317,5.8802,0,0.2984,0.0003058,0,0,0.30339,0.36191,0
FJI,Fiji,896445,365.15,,,,0,,,2.6125,1.8905,1.1155,7.9395,0,0,0,0,0,0,0,0
FRA,France,65273511,365.15,0.047379,0.04282,0.049637,1129260.581,1785127567,0.063259377,6.8205,1.2021,8.1164,7.461,0,0.16071,0.45183,0,0,0.24205,1.0144,0
GAB,Gabon,2225734,365.15,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,67886011,365.15,0.047201,0.042659,0.04945,1170045.619,1762646717,0.066380041,5.0474,1.7047,6.4723,9.9599,0,0.0082169,0.0007893,0,0,1.1085,0.0010472,0
GEO,Georgia,3989167,365.15,,,,,33028055.5,0,1.8107,0.31691,1.5981,4.1087,0,0,0,0,0,0,0,0
GHA,Ghana,31072940,365.15,2.4932,2.4932,2.4932,28288555.37,248308469.2,11.39250524,0.33728,0.63187,0.33096,2.7147,0,0,0,0,0,0.00017131,0.654,0
GIN,Guinea,13132795,365.15,0.43278,0.43278,0.43278,2075370.564,41921497.53,4.950611706,1.3634,0.46858,0.07322,0.5287,0,0,0,0,0,0,0,0
GMB,Gambia,2416668,365.15,0.61446,0.61446,0.61446,542227.9659,8356472.798,6.488718135,0.64883,0.27334,0.10837,1.4675,0,0,0,0,0,0,0,0
GNB,Guinea-Bissau,1968001,365.15,,,,0,,,1.149,0.52182,2.7209,0.69815,0,0,0,0,0,0,0,0
GRC,Greece,10423054,365.15,0.017262,0.015601,0.018085,65698.79514,264541861.9,0.024834933,5.0313,4.648,7.7115,4.765,0,0.14705,0.38248,0,0,0.4584,0.024526,0
GRD,Grenada,112523,365.15,,,,0,,,1.695,0.48811,2.4007,13.4059,0,0,0,0,0,0,0,0
GTM,Guatemala,17915568,365.15,,,,0,,,1.7541,0.094302,1.761,5.19,0,0.098908,0,0,0,0.051437,0,0
GUY,Guyana,786552,365.15,,,,0,,,0.78762,0.43051,0.75129,11.0714,0,0,0,0,0,0,0,0
HND,Honduras,9904607,365.15,,,,0,,,2.1965,0.0123,1.9683,7.1202,0,0,0,0,0,0,0,0
HRV,Croatia,4105267,365.15,,,,0,,,2.4376,0.29505,10.3305,2.8642,0,0.40659,0.0021597,0,0,0,0.014724,0
HTI,Haiti,11402528,365.15,,,,,76569462.51,0,1.4529,0.26241,1.5026,2.3807,0,0.26762,0,0,0,0,0.20945,0
HUN,Hungary,9660351,365.15,,,,,212053341,0,1.617,0.050997,10.0419,8.1496,0,0.024204,0.09452,0,0,0.17717,0.52887,0
IDN,Indonesia,273523615,365.15,,,,,1095533050,0,0.66187,0.1712,0.7178,2.2467,0,0,0,0,0,0.0021553,0.0087634,0
IND,India,1380004385,365.15,,,,0,,,0.43946,0.28096,0.099371,0.83598,0,0,0,0,0,0,0.05723,0
IRL,Ireland,4937786,365.15,0.029098,0.026298,0.030485,52464.64137,118470762.2,0.044284885,6.1586,1.0199,7.8667,6.9309,0,0,0,0,0,0.16267,0.19029,0
IRN,Iran,83992949,365.15,0.10502,0.094915,0.11003,3220966.06,990306441.3,0.32524943,1.5524,1.2421,0,8.3856,0,0,0,0,0,0,0,0
IRQ,Iraq,40222493,365.15,,,,0,,,0.7103,0.64474,0,4.6615,0,0,0,0,0,0,0.00024997,0
ISL,Iceland,341243,365.15,,,,0,,,3.4869,7.8134,4.8573,7.933,0,1.2849,0,0,0,0,3.3794,0
ISR,Israel,8655535,365.15,,,,0,,,7.4501,0.76131,0.59897,22.5156,0,0,0,0,0,0,0,0
ITA,Italy,60461826,365.15,0.040578,0.036673,0.042512,895866.304,1626074923,0.05509379,5.7927,0.42619,9.7291,5.8641,0.032963,0.40883,2.3162,0,0,0.040441,0.25558,0
JAM,Jamaica,2961167,365.15,,,,0,,,1.4825,0.54275,0.95787,16.5675,0,0,0,0,0,0,0,0
JOR,Jordan,10203134,365.15,,,,,157751958.8,0,2.1201,1.7703,0.00485,10.878,0,0,0.0019586,0,0,0.0021753,0,0
JPN,Japan,126476461,365.15,,,,0,,,2.7698,0.061501,4.7198,6.39,0,0.040571,0.00010174,0,0,0.0081044,0.012514,0
KAZ,Kazakhstan,18776707,365.15,0.001514,0.0013683,0.0015862,10380.46025,443993762.1,0.002337974,5.9541,3.3767,4.1152,5.1917,0,2.8861,0.17406,0,0,0.0059625,0.0068222,0
KEN,Kenya,53771296,365.15,0.51525,0.51525,0.51525,10116721.85,280938312.5,3.601047417,3.1155,0.72771,0.076149,0.20674,0,0,0.041397,0,0,0,0,0
KGZ,Kyrgyzstan,6524195,365.15,,,,,81587428.42,0,4.0708,3.3038,1.2028,2.0883,0,0.64807,0.011269,0,0,0,0,0
KHM,Cambodia,16718965,365.15,,,,,,,,,,,,,,,,,,
KIR,Kiribati,119449,365.15,,,,,,,,,,,,,,,,,,
KNA,Saint Kitts & Nevis,53199,365.15,,,,,,,2.8251,0.61924,2.0661,18.6461,0,0,0,0,0,0,0,0
KOR,South Korea,51269185,365.15,,,,,963319047.9,0,4.5164,0.053301,7.1153,5.4877,0,0,0.032782,0,0,0.000029346,0.022739,0
KWT,Kuwait,4270571,365.15,,,,,125552660.5,0,2.3461,5.0742,0,20.4758,0,0,0,0,0,0,0.069099,0
LAO,Laos,7275560,365.15,,,,0,,,1.9022,0.094708,2.1049,1.2349,0,0,0,0,0,0,0,0
LBN,Lebanon,6825445,365.15,,,,,94474571.78,0,4.6143,0.8633,0.49227,7.1216,0,0,0,0,0,0,0,0
LBR,Liberia,5057681,365.15,,,,,,,,,,,,,,,,,,
LBY,Libya,6871292,365.15,,,,0,,,0.20448,0.18213,0.90695,2.5474,0,0,0,0,0,0,0,0
LCA,Saint Lucia,183627,365.15,,,,,,,1.8457,1.0636,3.2737,22.4736,0,0,0,0,0,0,0,0
LKA,Sri Lanka,21413249,365.15,,,,,,,0.46805,0.040785,0.0033124,2.2278,0,0,0,0,0,0,0,0
LSO,Lesotho,2142249,365.15,,,,,,,,,,,,,,,,,,
LTU,Lithuania,2722289,365.15,0.022819,0.020624,0.023907,22683.08612,58107639.55,0.039036323,0.98204,0.076495,10.9973,7.5483,0,0.0080858,0.020753,0,0,0.33617,0.057343,0
